
-------------------------------
number of philos 5
time to die      0
time to eat      0
time to sleep    200
number of meals  -1
-------------------------------

[1]: 1 is thinking
[1]: 1 is sleeping
[1]: 1 is thinking
[1]: 1 is sleeping
[1]: 2 is thinking
[1]: 2 is sleeping
[2]: 1 is thinking
[2]: 1 is sleeping
[2]: 2 is thinking
[2]: 2 is sleeping
[2]: 3 is thinking
[2]: 3 is sleeping
[3]: 1 is thinking
[3]: 1 is sleeping
[3]: 4 is thinking
[3]: 4 is sleeping
[3]: 2 is thinking
[3]: 2 is sleeping
[3]: 5 is thinking
[3]: 5 is sleeping
[3]: 3 is thinking
[3]: 3 is sleeping
[4]: 1 is thinking
[4]: 1 is sleeping
[4]: 4 is thinking
[4]: 4 is sleeping
[4]: 2 is thinking
[4]: 2 is sleeping
[4]: 5 is thinking
[4]: 5 is sleeping
[5]: 3 is thinking
[5]: 3 is sleeping
[5]: 1 is thinking
[5]: 1 is sleeping
[5]: 4 is thinking
[5]: 4 is sleeping
[5]: 2 is thinking
[5]: 2 is sleeping
[6]: 5 is thinking
[6]: 5 is sleeping
[6]: 3 is thinking
[6]: 3 is sleeping
[6]: 1 is thinking
[6]: 1 is sleeping
[6]: 4 is thinking
[6]: 4 is sleeping
[7]: 2 is thinking
[7]: 2 is sleeping
[7]: 5 is thinking
[7]: 5 is sleeping
[7]: 3 is thinking
[7]: 3 is sleeping
[7]: 1 is thinking
[7]: 1 is sleeping
[8]: 4 is thinking
[8]: 4 is sleeping
[8]: 2 is thinking
[8]: 2 is sleeping
[8]: 5 is thinking
[8]: 5 is sleeping
[8]: 3 is thinking
[8]: 3 is sleeping
[9]: 1 is thinking
[9]: 1 is sleeping
[9]: 4 is thinking
[9]: 4 is sleeping
[9]: 2 is thinking
[9]: 2 is sleeping
[9]: 5 is thinking
[9]: 5 is sleeping
[10]: 3 is thinking
[10]: 3 is sleeping
[10]: 1 is thinking
[10]: 1 is sleeping
[10]: 4 is thinking
[10]: 4 is sleeping
[10]: 2 is thinking
[10]: 2 is sleeping
[11]: 5 is thinking
[11]: 5 is sleeping
[11]: 3 is thinking
[11]: 3 is sleeping
[11]: 1 is thinking
[11]: 1 is sleeping
[12]: 4 is thinking
[12]: 4 is sleeping
[12]: 2 is thinking
[12]: 2 is sleeping
[12]: 5 is thinking
[12]: 5 is sleeping
[12]: 3 is thinking
[12]: 3 is sleeping
[13]: 1 is thinking
[13]: 1 is sleeping
[13]: 4 is thinking
[13]: 4 is sleeping
[13]: 2 is thinking
[13]: 2 is sleeping
[13]: 5 is thinking
[13]: 5 is sleeping
[14]: 3 is thinking
[14]: 3 is sleeping
[14]: 1 is thinking
[14]: 1 is sleeping
[14]: 4 is thinking
[14]: 4 is sleeping
[14]: 2 is thinking
[14]: 2 is sleeping
[15]: 5 is thinking
[15]: 5 is sleeping
[15]: 3 is thinking
[15]: 3 is sleeping
[15]: 1 is thinking
[15]: 1 is sleeping
[15]: 4 is thinking
[15]: 4 is sleeping
[16]: 2 is thinking
[16]: 2 is sleeping
[16]: 5 is thinking
[16]: 5 is sleeping
[16]: 3 is thinking
[16]: 3 is sleeping
[16]: 1 is thinking
[16]: 1 is sleeping
[17]: 4 is thinking
[17]: 4 is sleeping
[17]: 2 is thinking
[17]: 2 is sleeping
[17]: 5 is thinking
[17]: 5 is sleeping
[17]: 3 is thinking
[17]: 3 is sleeping
[18]: 1 is thinking
[18]: 1 is sleeping
[18]: 4 is thinking
[18]: 4 is sleeping
[18]: 2 is thinking
[18]: 2 is sleeping
[18]: 5 is thinking
[18]: 5 is sleeping
[19]: 3 is thinking
[19]: 3 is sleeping
[19]: 1 is thinking
[19]: 1 is sleeping
[19]: 4 is thinking
[19]: 4 is sleeping
[19]: 2 is thinking
[19]: 2 is sleeping
[20]: 5 is thinking
[20]: 5 is sleeping
[20]: 3 is thinking
[20]: 3 is sleeping
[20]: 1 is thinking
[20]: 1 is sleeping
[21]: 4 is thinking
[21]: 4 is sleeping
[21]: 2 is thinking
[21]: 2 is sleeping
[21]: 5 is thinking
[21]: 5 is sleeping
[21]: 3 is thinking
[21]: 3 is sleeping
[22]: 1 is thinking
[22]: 1 is sleeping
[22]: 4 is thinking
[22]: 4 is sleeping
[22]: 2 is thinking
[22]: 2 is sleeping
[22]: 5 is thinking
[22]: 5 is sleeping
[23]: 3 is thinking
[23]: 3 is sleeping
[23]: 1 is thinking
[23]: 1 is sleeping
[23]: 4 is thinking
[23]: 4 is sleeping
[23]: 2 is thinking
[23]: 2 is sleeping
[24]: 5 is thinking
[24]: 5 is sleeping
[24]: 3 is thinking
[24]: 3 is sleeping
[24]: 1 is thinking
[24]: 1 is sleeping
[24]: 4 is thinking
[24]: 4 is sleeping
[25]: 2 is thinking
[25]: 2 is sleeping
[25]: 5 is thinking
[25]: 5 is sleeping
[25]: 3 is thinking
[25]: 3 is sleeping
[25]: 1 is thinking
[25]: 1 is sleeping
[26]: 4 is thinking
[26]: 4 is sleeping
[26]: 2 is thinking
[26]: 2 is sleeping
[26]: 5 is thinking
[26]: 5 is sleeping
[26]: 3 is thinking
[26]: 3 is sleeping
[27]: 1 is thinking
[27]: 1 is sleeping
[27]: 4 is thinking
[27]: 4 is sleeping
[27]: 2 is thinking
[27]: 2 is sleeping
[27]: 5 is thinking
[27]: 5 is sleeping
[28]: 3 is thinking
[28]: 3 is sleeping
[28]: 1 is thinking
[28]: 1 is sleeping
[28]: 4 is thinking
[28]: 4 is sleeping
[28]: 2 is thinking
[28]: 2 is sleeping
[29]: 5 is thinking
[29]: 5 is sleeping
[29]: 3 is thinking
[29]: 3 is sleeping
[29]: 1 is thinking
[29]: 1 is sleeping
[30]: 4 is thinking
[30]: 4 is sleeping
[30]: 2 is thinking
[30]: 2 is sleeping
[30]: 5 is thinking
[30]: 5 is sleeping
[30]: 3 is thinking
[30]: 3 is sleeping
[31]: 1 is thinking
[31]: 1 is sleeping
[31]: 4 is thinking
[31]: 4 is sleeping
[31]: 2 is thinking
[31]: 2 is sleeping
[31]: 5 is thinking
[31]: 5 is sleeping
[32]: 3 is thinking
[32]: 3 is sleeping
[32]: 1 is thinking
[32]: 1 is sleeping
[32]: 4 is thinking
[32]: 4 is sleeping
[32]: 2 is thinking
[32]: 2 is sleeping
[33]: 5 is thinking
[33]: 5 is sleeping
[33]: 3 is thinking
[33]: 3 is sleeping
[33]: 1 is thinking
[33]: 1 is sleeping
[33]: 4 is thinking
[33]: 4 is sleeping
[34]: 2 is thinking
[34]: 2 is sleeping
[34]: 5 is thinking
[34]: 5 is sleeping
[34]: 3 is thinking
[34]: 3 is sleeping
[34]: 1 is thinking
[34]: 1 is sleeping
[35]: 4 is thinking
[35]: 4 is sleeping
[35]: 2 is thinking
[35]: 2 is sleeping
[35]: 5 is thinking
[35]: 5 is sleeping
[35]: 3 is thinking
[35]: 3 is sleeping
[36]: 1 is thinking
[36]: 1 is sleeping
[36]: 4 is thinking
[36]: 4 is sleeping
[36]: 2 is thinking
[36]: 2 is sleeping
[36]: 5 is thinking
[36]: 5 is sleeping
[37]: 3 is thinking
[37]: 3 is sleeping
[37]: 1 is thinking
[37]: 1 is sleeping
[37]: 4 is thinking
[37]: 4 is sleeping
[37]: 2 is thinking
[37]: 2 is sleeping
[38]: 5 is thinking
[38]: 5 is sleeping
[38]: 3 is thinking
[38]: 3 is sleeping
[38]: 1 is thinking
[38]: 1 is sleeping
[38]: 4 is thinking
[38]: 4 is sleeping
[39]: 2 is thinking
[39]: 2 is sleeping
[39]: 5 is thinking
[39]: 5 is sleeping
[39]: 3 is thinking
[39]: 3 is sleeping
[40]: 1 is thinking
[40]: 1 is sleeping
[40]: 4 is thinking
[40]: 4 is sleeping
[40]: 2 is thinking
[40]: 2 is sleeping
[40]: 5 is thinking
[40]: 5 is sleeping
[41]: 3 is thinking
